Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,62.770000,62.869999,62.410000,62.650002,61.944962,527200
2021-09-14,62.000000,62.000000,61.250000,61.259998,60.570599,655800
2021-09-15,62.439999,62.439999,60.799999,61.189999,60.501389,953800
2021-09-16,60.779999,60.779999,59.630001,60.020000,59.344555,395800
2021-09-17,60.750000,60.750000,60.000000,60.700001,60.016903,643500
2021-09-20,59.849998,60.610001,59.590000,59.950001,59.275345,486100
2021-09-21,60.750000,60.750000,60.200001,60.250000,59.571968,460200
2021-09-22,60.840000,61.320000,60.610001,60.619999,59.937801,721200
2021-09-23,61.639999,61.639999,60.650002,61.400002,60.709026,358500
2021-09-24,61.320000,61.320000,60.279999,60.759998,60.076225,282400
2021-09-27,61.250000,61.290001,60.419998,60.740002,60.056454,193400
2021-09-28,60.380001,60.380001,58.049999,58.169998,58.169998,716200
2021-09-29,59.450001,59.919998,59.000000,59.009998,59.009998,678800
2021-09-30,60.250000,60.439999,58.799999,59.250000,59.250000,1049700
2021-10-01,54.779999,56.869999,54.779999,56.299999,56.299999,1574200
2021-10-04,55.759998,55.759998,54.500000,54.700001,54.700001,662700
2021-10-05,54.830002,55.000000,54.410000,54.599998,54.599998,683800
2021-10-06,55.419998,55.900002,55.130001,55.779999,55.779999,331600
2021-10-07,56.459999,56.900002,56.320000,56.650002,56.650002,273600
2021-10-08,56.750000,56.810001,56.200001,56.360001,56.360001,175600
2021-10-11,56.680000,56.799999,55.959999,56.419998,56.419998,229700
2021-10-12,56.750000,56.849998,56.180000,56.549999,56.549999,250100
2021-10-13,56.540001,56.540001,56.099998,56.450001,56.450001,111200
2021-10-14,57.490002,57.490002,56.619999,56.970001,56.970001,222500
2021-10-15,56.320000,56.549999,56.200001,56.290001,56.290001,423000
2021-10-18,56.070000,56.369999,55.939999,56.200001,56.200001,608300
2021-10-19,56.540001,56.540001,55.759998,56.049999,56.049999,429100
2021-10-20,54.990002,55.000000,54.650002,54.730000,54.730000,630200
2021-10-21,55.290001,55.330002,54.410000,54.689999,54.689999,1074200
2021-10-22,54.740002,55.299999,54.689999,54.860001,54.860001,205600
2021-10-25,54.099998,54.299999,53.619999,54.150002,54.150002,255800
2021-10-26,53.689999,54.619999,53.549999,53.650002,53.650002,306200
2021-10-27,53.880001,53.880001,53.389999,53.389999,53.389999,203400
2021-10-28,54.009998,54.709999,54.000000,54.669998,54.669998,257200
2021-10-29,55.040001,55.250000,54.930000,55.250000,55.250000,228600
2021-11-01,55.720001,55.720001,55.029999,55.540001,55.540001,245500
2021-11-02,53.200001,54.299999,53.200001,53.570000,53.570000,478100
2021-11-03,54.500000,54.639999,52.950001,53.599998,53.599998,359900
2021-11-04,53.730000,53.919998,53.049999,53.599998,53.599998,381900
2021-11-05,54.500000,55.709999,54.500000,55.349998,55.349998,481600
2021-11-08,54.049999,55.209999,54.009998,54.700001,54.700001,302700
2021-11-09,54.720001,54.950001,54.549999,54.599998,54.599998,247300
2021-11-10,54.619999,55.320000,54.230000,54.310001,54.310001,335300
2021-11-11,54.759998,55.000000,54.660000,55.000000,55.000000,292700
2021-11-12,54.919998,55.439999,54.919998,55.360001,55.360001,255000
2021-11-15,55.419998,55.480000,54.889999,54.950001,54.950001,310900
2021-11-16,55.500000,56.470001,55.500000,55.950001,55.950001,733800
2021-11-17,55.200001,55.500000,55.009998,55.310001,55.310001,320400
2021-11-18,56.419998,56.709999,56.250000,56.520000,56.520000,417600
2021-11-19,56.910000,57.070000,56.520000,56.830002,56.830002,246100
2021-11-22,56.650002,56.650002,55.509998,55.549999,55.549999,376800
2021-11-23,56.049999,56.590000,54.849998,55.090000,55.090000,426100
2021-11-24,54.799999,54.799999,54.419998,54.799999,54.799999,263000
2021-11-26,54.570000,54.750000,54.200001,54.270000,54.270000,146900
2021-11-29,56.880001,56.880001,56.080002,56.709999,56.709999,513700
2021-11-30,55.939999,55.939999,54.770000,55.080002,55.080002,463200
2021-12-01,56.000000,56.619999,55.279999,55.330002,55.330002,329300
2021-12-02,56.810001,57.180000,56.810001,57.000000,57.000000,399700
2021-12-03,56.090000,56.090000,55.160000,55.799999,55.799999,438700
2021-12-06,55.849998,56.450001,55.450001,55.970001,55.970001,602900
2021-12-07,57.869999,57.869999,55.880001,57.750000,57.750000,645400
2021-12-08,58.110001,58.720001,58.110001,58.599998,58.599998,357200
2021-12-09,59.250000,59.740002,58.520000,58.650002,58.650002,289500
2021-12-10,59.200001,59.849998,59.099998,59.400002,59.400002,301500
2021-12-13,59.009998,59.189999,58.500000,58.500000,58.500000,372900
2021-12-14,58.200001,58.990002,57.919998,58.180000,58.180000,383500
2021-12-15,58.680000,58.980000,58.009998,58.919998,58.919998,358200
2021-12-16,59.849998,59.980000,58.750000,59.020000,59.020000,348100
2021-12-17,58.580002,58.630001,58.160000,58.209999,58.209999,397900
2021-12-20,58.520000,59.330002,58.509998,59.240002,59.240002,500100
2021-12-21,60.759998,61.160000,60.320000,60.950001,60.950001,519000
2021-12-22,59.490002,60.320000,59.490002,60.110001,60.110001,271300
2021-12-23,60.490002,60.910000,60.490002,60.910000,60.910000,280800
2021-12-27,60.000000,61.369999,60.000000,61.299999,61.299999,494100
2021-12-28,59.709999,60.250000,59.669998,59.770000,59.770000,305600
2021-12-29,59.070000,60.000000,59.070000,59.490002,59.490002,159600
2021-12-30,58.330002,58.709999,58.110001,58.590000,58.590000,350000
